team_code,name,capacity
BOS,TD Garden,18624
BKN,Barclays Center,17732
NYK,Madison Square Garden,19812
PHI,Wells Fargo Center,21600
TOR,Air Canada Centre,19800
CHI,United Center,20917
CLE,Quicken Loans Arena,20562
DET,The Palace of Auburn Hills,19971
IND,Bankers Life Fieldhouse,18165
MIL,BMO Harris Bradley Center,18717
ATL,Philips Arena,18047
CHA,Spectrum Center,19077
MIA,American Airlines Arena,19600
ORL,Amway Center,18846
WSH,Verizon Center,20356
DEN,Pepsi Center,19155
MIN,Target Center,19356
OKC,Chesapeake Energy Arena,18203
POR,Moda Center,19441
UTA,Vivint Smart Home Arena,19911
GSW,Oracle Arena,19596
LAC,Staples Center,19060
LAL,Staples Center,19060
PHX,Talking Stick Resort Arena,18055
SAC,Golden 1 Center,17500
DAL,American Airlines Center,19200
HOU,Toyota Center,18055
MEM,FedExForum,18119
NOP,Smoothie King Center,16867
SAS,AT&T Center,18418
