name,division
Alabama,NCAA1
Arizona,NCAA1
Arizona State,NCAA1
Arkansas,NCAA1
Baylor,NCAA1
Belmont,NCAA1
Blinn,NJCAA
Boston College,NCAA1
Bowling Green,NCAA1
Bucknell,NCAA1
Butler,NCAA1
California,NCAA1
California-Santa Barbara,NCAA1
Cal State-Fullerton,NCAA1
Cincinnati,NCAA1
Clemson,NCAA1
Colorado,NCAA1
Colorado State,NCAA1
Connecticut,NCAA1
Creighton,NCAA1
Davidson,NCAA1
Dayton,NCAA1
DePaul,NCAA1
Duke,NCAA1
Eastern Washington,NCAA1
Florida,NCAA1
Florida State,NCAA1
Fresno State,NCAA1
Georgetown,NCAA1
Georgia,NCAA1
Georgia State,NCAA1
Georgia Tech,NCAA1
Gonzaga,NCAA1
Harvard,NCAA1
Houston,NCAA1
Illinois,NCAA1
Indiana,NCAA1
Indiana Purdue-Indianapolis,NCAA1
Iowa State,NCAA1
Kansas,NCAA1
Kansas State,NCAA1
Kentucky,NCAA1
Lehigh,NCAA1
Le Moyne,NCAA1
Long Beach State,NCAA1
Louisiana-Lafayette,NCAA1
Louisiana State,NCAA1
Louisiana Tech,NCAA1
Louisville,NCAA1
Marquette,NCAA1
Marshall,NCAA1
Maryland,NCAA1
Memphis,NCAA1
Miami (FL),NCAA1
Miami (Fla.),NCAA1
Michigan,NCAA1
Michigan State,NCAA1
Minnesota,NCAA1
Missouri,NCAA1
Morehead State,NCAA1
Murray State,NCAA1
Nevada,NCAA1
Nevada-Las Vegas,NCAA1
New Mexico,NCAA1
New Mexico State,NCAA1
None,NCAA1
Norfolk State,NCAA1
North Carolina,NCAA1
North Carolina State,NCAA1
Northeastern,NCAA1
Notre Dame,NCAA1
Ohio State,NCAA1
Ohio U.,NCAA1
Oklahoma,NCAA1
Oklahoma State,NCAA1
Old Dominion,NCAA1
Oregon,NCAA1
Pittsburgh,NCAA1
Providence,NCAA1
Purdue,NCAA1
Saint Joseph's,NCAA1
Saint Louis,NCAA1
Saint Mary's (CA),NCAA1
San Diego State,NCAA1
Seton Hall,NCAA1
Southern California,NCAA1
Stanford,NCAA1
St. Bonaventure,NCAA1
St. John's (NY),NCAA1
Syracuse,NCAA1
Temple,NCAA1
Tennessee,NCAA1
Tennessee State,NCAA1
Texas,NCAA1
Texas A&M,NCAA1
UCLA,NCAA1
UNLV,NCAA1
Utah,NCAA1
Vanderbilt,NCAA1
Villanova,NCAA1
Virginia,NCAA1
Virginia Commonwealth,NCAA1
Virginia Tech,NCAA1
Wake Forest,NCAA1
Washington,NCAA1
Washington State,NCAA1
Weber State,NCAA1
Western Kentucky,NCAA1
Wichita State,NCAA1
Wisconsin,NCAA1
Wyoming,NCAA1
Xavier,NCAA1
