id,first_name,last_name,team_code,start_season
1,Danny,Ainge,BOS,2003
2,Jeff,Bower,DET,2014
3,R.C.,Buford,SAS,2002
4,Rich,Cho,CHA,2011
5,Dell,Demps,NOP,2010
6,Andy,Elisburg,MIA,2013
7,Gar,Forman,CHI,2009
8,David,Griffin,CLE,2013
9,Ernie,Grunfeld,WSH,2003
10,John,Hammond,MIL,2008
11,Rob,Hennigan,ORL,2012
12,Scott,Layden,MIN,2015
13,Dennis,Lindsey,UTA,2012
14,Herb,Livsey,DEN,2016
15,Sean,Marks,BKN,2015
16,Ryan,McDonough,PHX,2013
17,Steve,Mills,NYK,2013
18,Daryl,Morey,HOS,2007
19,Bob,Myers,GSW,2012
20,Donnie,Nelson,DAL,2002
21,Neil,Olshey,POR,2012
22,Sam,Presti,OKC,2007
23,Kevin,Pritchard,IND,2012
24,Chris,Wallace,MEM,2007
25,Jeff,Weltman,TOR,2016
26,Wes,Wilcox,ATL,2015
27,Dave,Wohl,LAL,2014
