player_id,date,type,status
334,12/05/16,Hip,is upgraded to probable Monday vs. Oklahoma City
408,12/05/16,Illness,is upgraded to probable Monday vs. Washington
191,11/03/16,Hamstring,out indefinitely
286,11/26/16,Knee,out indefinitely
339,12/05/16,Suspension,expected to miss Monday vs. Portland
336,11/25/16,Back,out indefinitely
116,11/17/16,Concussion,out indefinitely
295,11/01/16,Knee,expected to miss 4-6 weeks
299,12/05/16,Concussion,is upgraded to probable Monday vs. Toronto
370,12/05/16,Knee,is downgraded to doubtful Monday vs. Charlotte
113,12/04/16,Achilles,out indefinitely
317,12/03/16,Wrist,expected to miss next 2 games
136,11/15/16,Ankle,out indefinitely
346,11/25/16,Knee,out indefinitely
77,10/22/16,Pectoral,out indefinitely
407,12/05/16,Back,is upgraded to probable Monday vs. Boston
218,12/05/16,Hamstring,expected to miss 2-4 weeks
259,12/04/16,Knee,? Monday vs. Utah
312,11/29/16,Ankle,out indefinitely
75,11/23/16,Knee,out indefinitely
423,12/05/16,Hip,is downgraded to expected to miss Monday vs. New Orleans
298,11/29/16,Back,out indefinitely
435,11/25/16,Personal,out indefinitely
174,11/22/16,Calf,out indefinitely
61,11/20/16,Knee,out indefinitely
176,12/05/16,Shoulder,expected to miss Tuesday vs. New York
220,12/05/16,Ankle,doubtful Tuesday vs. New York
227,12/05/16,Wrist,is downgraded to expected to miss Tuesday vs. New York
267,12/05/16,Hip,doubtful Tuesday vs. New York
112,11/30/16,Groin,expected to miss 2-4 weeks
50,12/05/16,Toe,? Tuesday vs. San Antonio
27,12/05/16,Foot,injured last game
221,12/05/16,Toe,expected to miss Monday vs. Memphis
82,11/25/16,Knee,expected to miss 4-6 weeks
73,12/05/16,Ankle,? Tuesday vs. Miami
383,12/05/16,Ankle,is upgraded to probable Monday vs. Atlanta
168,12/05/16,Illness,is downgraded to expected to miss Monday vs. Denver
193,12/05/16,Wrist,is downgraded to expected to miss Monday vs. Denver
202,12/05/16,Rest,expected to miss Tuesday vs. Memphis
350,12/05/16,Knee,expected to miss next 3 games
385,11/23/16,Head,out indefinitely
288,12/05/16,Legal problems,?
137,12/04/16,Toe,is downgraded to doubtful Monday vs. LA Lakers
103,12/01/16,Knee,out indefinitely
154,12/04/16,Knee,is downgraded to doubtful Monday vs. Brooklyn
84,11/25/16,Wrist,out indefinitely
