team_code,owner_first,owner_last,owned_since,operating_entity
ATL,Tony,Ressler,2015,Hawks Basketball Inc.
BOS,H. Irving,Gousbeck,2003,Boston Basketball Partners
BKN,Mikhael,Prokhorov,2010,ONEXIM Sports
CHA,Michael,Jordan,2010,Hornets Sports & Entertainment
CHI,Jerry,Reinsdorf,1985,Chicago Professional Sports Limited
CLE,Dan,Gilbert,2005,Cavaliers Operating Company LLC
CLE,Gary,Gilbert,2005,Cavaliers Operating Company LLC
CLE,Gordon,Gund,2005,Cavaliers Operating COmpany LLC
DAL,Mark,Cuban,2000,Dallas Basketball Limited
DEN,Stan,Kroenke,2000,Kroenke Sports Enterprise Denver Nuggets Limited Partnership
DET,Tom,Gores,2011,Palace Sports & Entertainment Detroit Pistons Basketball Company
GSW,Joe,Lacob,2010,GSW Sports LLC
GSW,Peter,Guber,2010,GSW Sports LLC
HOU,Leslie,Alexander,1993,Rockets Ball Ltd.
IND,Herbert,Simon,1983,Pacers Sports & Entertainment
LAC,Steve,Ballmer,2014,LAC Basketball Club
LAL,Jeanie,Buss,1979,The Los Angeles Lakers Inc.
MEM,Robert,Pera,2012,Memphis Basketball LLC
MIA,Micky,Arison,1995,Miami Heat Limited Partnership
MIL,Marc,Larsy,2014,Milwaukee Bucks Inc.
MIL,Wesley,Edens,2014,Milwaukee Bucks Inc.
MIN,Glen,Taylor,1995,Minnesota Timberwolves Basketball Limited Partnership
NOP,Tom,Benson,2012,New Orleans Pelicans NBA Limited Partnership
NYK,James,Dolan,1997,The Madison Square Garden Company New York Knicks Inc
OKC,Clay,Bennett,2006,The Professional Basketball Club LLC.
ORL,Richard,DeVos,1991,RDV Sports Inc. Orlando Magic Ltd.
PHI,Joshua,Harris,2011,Philedelphia 76ers Inc.
PHI,Adam,Aron,2011,Philedelphia 76ers Inc.
PHI,David,Blitzer,2011,Philedelphia 76ers Inc.
PHI,Martin,Geller,2011,Philedelphia 76ers Inc.
PHI,David B.,Heller,2011,Philedelphia 76ers Inc.
PHI,Travis,Hennings,2011,Philedelphia 76ers Inc.
PHI,James,Lassiter,2011,Philedelphia 76ers Inc.
PHI,Marc,Leder,2011,Philedelphia 76ers Inc.
PHI,Michael,Rubin,2011,Philedelphia 76ers Inc.
PHI,Will,Smith,2011,Philedelphia 76ers Inc.
PHI,Jada,Pinkett-Smith,2011,Philedelphia 76ers Inc.
PHI,Art,Wrubel,2011,Philedelphia 76ers Inc.
PHI,Handy,Soetedjo,2011,Philedelphia 76ers Inc.
PHI,Erick,Thohir,2011,Philedelphia 76ers Inc.
PHX,Robert,Sarver,2004,Sun Legacy Partners LLC
POR,Paul,Allen,1998,Vulcan Inc. Trailer Blazers
SAC,Vivek,Ranadive,2013,Sacramento Kings Partnerships Group
SAS,Peter,Holt,1993,Spurs Sports and Entertainment San Antonio Spurs LLC
TOR,Larry,Tanenebaum,1998,Maple Leaf Sports and Entertainment Toronto Raptors Basketball Club
UTA,Gail,Miller,1985,Larry H. Miller Sports and Entertainment Jazz Basketball Investors Inc.
WSH,Ted,Leonsis,2010,Monumental Sports and Entertainment
