id,first_name,last_name,team_code,age,height_feet,height_inches,weight,college_name
1,AJ,Hammons,DAL,24,7,0,260,Purdue
2,Aaron,Brooks,IND,31,6,0,161,Oregon
3,Aaron,Gordon,ORL,21,6,9,220,Arizona
4,Aaron,Harrison,CHA,22,6,6,210,Kentucky
5,Adreian,Payne,MIN,25,6,10,237,Michigan State
6,Al,Horford,BOS,30,6,10,245,Florida
7,Al,Jefferson,IND,31,6,10,289,None
8,Al-Farouq,Aminu,POR,26,6,9,220,Wake Forest
9,Alan,Anderson,LAC,34,6,6,220,Michigan State
10,Alan,Williams,PHX,23,6,8,260,California-Santa Barbara
11,Alex,Abrines,OKC,23,6,6,190,None
12,Alex,Len,PHX,23,7,1,260,Maryland
13,Alexis,Ajinca,NOP,28,7,2,248,None
14,Allen,Crabbe,POR,24,6,6,215,California
15,Alonzo,Gee,DEN,29,6,6,225,Alabama
16,Amir,Johnson,BOS,29,6,9,240,None
17,Anderson,Varejao,GSW,34,6,11,273,None
18,Andre,Drummond,DET,23,6,11,279,Connecticut
19,Andre,Iguodala,GSW,32,6,6,215,Arizona
20,Andre,Roberson,OKC,25,6,7,210,Colorado
21,Andrew,Bogut,DAL,32,7,0,260,Utah
22,Andrew,Harrison,MEM,22,6,6,213,Kentucky
23,Andrew,Nicholson,WSH,26,6,9,250,St. Bonaventure
24,Andrew,Wiggins,MIN,21,6,8,199,Kansas
25,Anthony,Bennett,BKN,23,6,8,235,Nevada-Las Vegas
26,Anthony,Brown,NOP,24,6,7,210,Stanford
27,Anthony,Davis,NOP,23,6,11,253,Kentucky
28,Anthony,Morrow,OKC,31,6,5,210,Georgia Tech
29,Anthony,Tolliver,SAC,31,6,8,240,Creighton
30,Archie,Goodwin,NOP,22,6,5,205,Kentucky
31,Arinze,Onuaku,ORL,29,6,9,255,Syracuse
32,Aron,Baynes,DET,29,6,10,260,Washington State
33,Arron,Afflalo,SAC,31,6,5,210,UCLA
34,Austin,Rivers,LAC,24,6,4,200,Duke
35,Avery,Bradley,BOS,26,6,2,180,Texas
36,Ben,McLemore,SAC,23,6,5,195,Kansas
37,Beno,Udrih,DET,34,6,3,205,None
38,Bismack,Biyombo,ORL,24,6,9,255,None
39,Blake,Griffin,LAC,27,6,10,251,Oklahoma
40,Boban,Marjanovic,DET,28,7,3,290,None
41,Bobby,Brown,HOU,32,6,2,175,Cal State-Fullerton
42,Bobby,Portis,CHI,21,6,11,246,Arkansas
43,Bojan,Bogdanovic,BKN,27,6,8,225,None
44,Boris,Diaw,UTA,34,6,8,250,None
45,Bradley,Beal,WSH,23,6,5,207,Florida
46,Brandon,Bass,LAC,31,6,8,250,Louisiana State
47,Brandon,Ingram,LAL,19,6,9,190,Duke
48,Brandon,Jennings,NYK,27,6,1,170,None
49,Brandon,Knight,PHX,25,6,3,195,Kentucky
50,Brandon,Rush,MIN,31,6,6,225,Kansas
