player_id,games_played,minutes,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,rebounds,assists,turnovers,steals,blocks,personal_fouls,points_per_game
1,7,3.4,0.4,1,0.3,0.6,1.1,0.3,0,0,0.3,0.1,1.3
2,16,16,2.8,6.3,0.6,0.7,1.1,2.4,1.5,0.6,0.3,1.9,7.1
3,20,26,4,9.7,1.1,1.9,4.5,1.7,1.1,0.8,0.6,1.9,9.9
4,4,3.6,0,1,0.3,0.5,0.5,0.5,0,0,0,0.5,0.3
5,7,9.4,2.1,4,1.6,1.9,2,0.4,0.7,0.6,0.6,2.1,6.1
6,9,32.4,6.3,11.9,1.1,1.3,6.8,4.8,1.3,0.7,2.9,2.4,15.3
7,19,15.5,3.4,7.2,0.5,0.7,4.3,1,0.6,0.2,0.3,2.1,7.3
8,8,26.1,2.1,7.8,1,1.9,6.6,1.6,1.5,1.5,0.9,1.3,6.4
9,2,7.2,1,3,0,0,1,0.5,0.5,0,0,2,3
10,7,10.9,2.1,3.1,0.9,1.7,5.3,0.1,1,0.6,1,2,5.1
11,16,12.6,1.4,4.1,0.6,0.7,0.9,0.4,0.8,0.3,0.1,0.9,4.3
12,19,23.8,3.3,6.6,2.3,3.3,8.5,0.7,1.6,0.6,1.6,3.5,8.8
13,9,12,1.4,3.7,0.3,0.4,3.4,0.1,0.6,0.1,0.6,1.6,3.2
14,20,27.8,3.1,7.3,1.4,1.6,2.7,1.4,0.9,0.5,0.3,2.2,8.9
15,8,9.4,0.4,1.4,0.6,1.1,1.5,0.8,0.3,0.6,0.1,1.1,1.4
16,19,20.5,2.6,4.8,1.1,1.3,4.1,2,0.9,0.6,0.6,2.7,6.5
17,5,5.3,0.4,1,1.4,1.6,1.8,0.8,0.4,0.2,0.2,1,2.2
18,20,29.4,6.2,11.9,1.9,3.9,13.3,1.3,2,1.6,1.1,2.4,14.3
19,19,25,2.3,5.2,0.4,0.8,3.1,3.7,0.6,1,0.3,1.4,5.8
20,20,30.3,2.9,6.3,0.3,1.3,4.6,1.2,0.6,1.3,1.1,2.6,7
21,14,26.2,1.8,4,0.2,0.8,10.6,2.4,1.9,0.6,0.9,3.6,3.8
22,19,26.5,1.9,6.1,2.3,3,2.3,3.7,1.6,1.3,0.5,3.5,6.9
23,12,10.5,1.8,4,0.4,0.8,1.7,0.2,0.4,0.5,0.3,1.8,4
24,19,36.4,7.7,18.1,5.6,7.3,4.1,2.4,2.5,0.5,0.4,1.9,22.5
25,12,10.8,1.7,4.2,1.1,1.7,3.4,0.6,0.3,0.3,0,0.8,5
26,6,12.7,1.5,3.2,0,0,2.2,0.5,0.5,0.5,0.2,1.3,3.7
27,19,37.2,11.1,21.5,8.7,10.6,10.9,2.3,2.3,1.7,2.7,2.1,31.5
28,14,12.8,2.3,5,0.5,0.6,0.4,0.7,0.3,0.2,0.1,0.6,5.9
29,8,12.1,0.9,2.4,0.6,0.6,2,0.6,0.5,0.1,0,1.1,2.8
30,3,9.9,0.7,1.7,3.3,3.3,0,0.3,0,0,0.3,0.3,5
31,3,3.9,0.3,0.3,0,0,0.3,0,0,0,0.3,0.7,0.7
32,21,16.5,1.6,3.6,1.5,1.8,4.2,0.4,1.1,0.3,0.4,2.3,4.8
33,19,26.2,3,7.1,1.7,1.9,2.5,1.2,0.2,0.3,0.1,1.7,8.4
34,21,22.4,3,7.3,1,1.6,1.7,2,1,0.7,0.2,2.1,7.9
35,19,35.9,7.1,15.3,1.2,1.5,7.8,2.6,1.7,1.1,0.3,2.6,17.6
36,15,15.5,2.5,5.7,0.7,0.9,1.3,0.7,0.8,0.3,0.1,1.1,6.4
37,21,17.5,2.9,6.3,0.9,1,1.8,3.5,0.9,0.3,0,0.9,7
38,19,25.3,1.8,4.2,1.5,3,8.4,1,1.5,0.2,1.4,2.5,5.1
39,20,33,7.6,15.7,5.7,7.4,8.6,4.8,1.9,1.2,0.6,2.6,21
40,9,5.1,0.8,2.7,0.7,0.8,1.9,0,0.1,0.1,0.3,0.8,2.2
41,6,3.7,0.2,2,0,0,0.3,0,0.2,0,0,0.3,0.3
42,16,11.4,1.8,3.6,0.5,0.8,3.2,0.7,0.4,0.1,0.1,1.5,4.3
43,19,27.7,5,11.2,3,3.5,3.5,1.4,1.5,0.4,0.1,1.6,14.6
